,BS 1,BS 2,BS 3,BS 4,BS 5,BS 6,BS 7,BS 8,BS 9,BS 10,BS 11,BS 12,BS 13,BS 14,BS 15,BS 16,BS 17,BS 18,BS 19,BS 20,BS 21,BS 22,BS 23,BS 24,BS 25,BS 26,BS 27,BS 28,BS 29,BS 30,BS 31,BS 32,BS 33,BS 34,BS 35,BS 36,BS 37,BS 38,BS 39,BS 40,BS 41,BS 42,BS 43,BS 44,BS 45,BS 46,BS 47,BS 48,BS 49,BS 50,BS 51,BS 52,BS 53,BS 54,BS 55,BS 56,BS 57,BS 58,BS 59,BS 60,BS 61,BS 62,BS 63,BS 64,BS 65,BS 66,BS 67,BS 68,RX Time,SF,HDOP,Latitude,Longitude,Weather param sense time,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
10995,-104,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-108,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-26 15:49:28.285000+00:00,9,1.2700001001,51.2155761719,4.4083848,2017-12-26T15:49,2017-12-26 15:49:00+00:00,6.1955,80.82137,3.1455,1.2444649,0.0,0.0,0.0,0.0,1.0,1000.1,999.4885,33.6,28.0,14.0,0.0,0.020109812,0.18221474,23.0653,36.504074,214.18617,216.98299,46.079998,54.0,20.0,34.0,249.07506,54.0,53.88169,0.0,0.0,0.0,0.0,0.0,0.0
83440,-200,-200,-200,-101,-200,-200,-200,-200,-109,-200,-200,-200,-110,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-22 11:32:49.307000+00:00,7,0.6100000143,51.235496521,4.4207835197,2017-12-22T11:32,2017-12-22 11:32:00+00:00,9.695499,94.12268,8.7955,7.5224247,0.0,0.0,0.0,0.0,3.0,1034.7,1034.0752,91.2,100.0,2.0,0.0,0.02881019,0.07083404,12.738099,17.309975,312.70938,315.0001,23.4,39.0,1.0,38.0,3.9208624,39.0,360.50665,40.455433,1.0373188,39.418114,3.9208624,40.455433,373.96036
68762,-104,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-111,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-01 09:24:43.480000+00:00,12,0.6500000358,51.1996917725,4.4114551544,2017-12-01T09:24,2017-12-01 09:24:00+00:00,-0.004499998,91.96185,-1.1545,-4.277633,0.0,0.0,0.0,0.0,3.0,1015.3,1014.66534,90.0,100.0,0.0,0.0,0.017375125,0.04925388,13.551501,19.107151,39.61066,42.709366,23.759998,27.0,0.0,27.0,0.0,27.0,222.4659,34.787827,0.0,34.787827,0.0,34.787827,286.6335
82594,-200,-99,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-114,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-11 15:52:19.204000+00:00,12,0.7099999785,51.1944351196,4.4185647965,2018-01-11T15:52,2018-01-11 15:52:00+00:00,8.195499,89.95654,6.6454997,6.3801355,0.1,0.1,0.0,0.0,51.0,1019.2,1018.58136,100.0,98.0,63.0,0.0,0.0,0.109405816,6.6087217,10.829958,330.64233,338.5522,13.32,60.0,18.0,42.0,186.14998,59.999992,86.83324,0.0,0.0,0.0,0.0,0.0,0.0
21612,-200,-116,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-103,-200,-200,-200,-110,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-06 10:19:29.931000+00:00,12,0.6700000167,51.2071838379,4.4109082222,2018-01-06T10:19,2018-01-06 10:19:00+00:00,4.9455,92.91834,3.8955,3.2197223,0.0,0.0,0.0,0.0,3.0,1006.4,1005.78217,100.0,51.0,100.0,100.0,0.025318958,0.061699152,1.9386592,3.319036,111.801476,139.39879,10.440001,48.0,0.0,48.0,0.0,48.0,286.8884,56.213364,0.0,56.213364,0.0,56.213364,335.97836
111479,-200,-200,-200,-200,-105,-200,-200,-200,-200,-200,-200,-200,-200,-109,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-110,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-02-04 01:43:13.705000+00:00,8,1.1399999857,51.2357139587,4.4159150124,2018-02-04T01:43,2018-02-04 01:43:00+00:00,0.99549997,97.15927,0.5955,-3.413191,0.0,0.0,0.0,0.0,3.0,1012.1,1011.4695,90.0,100.0,0.0,0.0,0.0,0.018711865,16.299694,27.459293,30.529623,34.315147,29.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109827,-103,-94,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-12 19:04:52.363000+00:00,12,0.6999999881,51.194229126,4.418320179,2018-01-12T19:04,2018-01-12 19:04:00+00:00,5.4954996,95.24856,4.7955,3.1785164,0.0,0.0,0.0,0.0,3.0,1026.7,1026.0707,100.0,100.0,89.0,0.0,0.0,0.043009877,7.24486,11.923557,116.56499,118.88649,12.599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16017,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-111,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-30 08:08:04.400000+00:00,7,0.6000000238,51.2156143188,4.4204602242,2018-01-30T08:08,2018-01-30 08:08:00+00:00,1.2455001,97.515434,0.8955,-2.037434,0.0,0.0,0.0,0.0,0.0,1030.5,1029.8586,6.3,4.0,0.0,9.0,0.006055735,0.016662598,8.913181,18.089775,223.36346,238.84076,15.119999,9.0,4.0,5.0,49.3271,8.999997,54.05961,20.997818,9.332363,11.665454,104.31206,9.929446,126.12598
14500,-200,-200,-200,-200,-200,-200,-200,-200,-104,-200,-200,-200,-200,-200,-200,-200,-113,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-16 07:12:26.641000+00:00,7,0.6100000143,51.2149124146,4.4375333786,2018-01-16T07:12,2018-01-16 07:12:00+00:00,5.3954997,87.24876,3.4455001,-0.4937439,0.4,0.4,0.0,0.0,51.0,992.4,991.79175,100.0,100.0,41.0,0.0,0.01518489,0.11462635,29.888672,47.867813,260.99158,263.08887,62.279995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48216,-200,-200,-200,-200,-200,-200,-121,-200,-111,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-113,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-11 09:22:19.133000+00:00,8,0.6200000048,51.2290649414,4.4425702095,2018-01-11T09:22,2018-01-11 09:22:00+00:00,3.7955,96.53889,3.2955,1.5866928,0.0,0.0,0.0,0.0,1.0,1015.8,1015.1736,42.300003,15.0,48.0,0.0,0.015244331,0.027823329,4.452954,4.6800003,104.03627,112.61991,9.0,42.0,15.0,27.0,119.04821,42.000008,175.36148,59.25077,21.16099,38.089783,120.96905,58.309956,247.38817
